requirement,nutrient_id
Carbohydrate,1005
Total Fiber,1079
Protein,1003
Fat,1004
Î±-Linolenic Acid,
Linoleic Acid,
Total Water,1051
Vitamin A,2067
Vitamin C,1162
Vitamin D,1114
Vitamin B,61175
Vitamin E,2068
Vitamin K,1183
Vitamin K,1184
Vitamin K,1185
Thiamin,1165
Vitamin B,121178
Riboflavin,1166
Folate,1177
Niacin,1167
Choline,1180
Pantothenic Acid,1170
Biotin,1176
Calcium,1087
Chloride,
Chromium,1096
Copper,1098
Fluoride,1099
Iodine,1100
Iron,1089
Magnesium,1090
Manganese,1101
Molybdenum,1102
Phosphorus,1091
Potassium,1092
Selenium,1103
Sodium,1093
Zinc,1095
Boron,1137
Nickel,1146
Vanadium,1155
